1,Violet Evergarden,13,10/10,cmp
2,Sword Art Online,25,10/10,cmp
3,Gun Gale Online,28,10/10,cmp
4,SOA Alicization,25,10/10,cmp
5,SOA Alicization: War of The Underworld,24,10/10,cmp
6,Your Name,1,10/10,cmp
7,5 Centimeters Per Second,1,9/10,cmp
8,Toradora,25,8/10,cmp
9,White Album 2,13,9/10,cmp
10,My Teen Romantic Comedy,38,10/10,cmp
11,Tsukigakirei,12,10/10
12,Talentless Nana,13,6/10,cmp
14,Classroom of The Elite,46,10/10,cmp
15,Amagi Brilliant Park,13,7/10,cmp
16,Blue Box,25,10/10,cmp
17,Bartender The Glass of God,12,10/10,cmp
18,Golden Time,24,10/10,cmp
19,Sound of Euphonium,39,10/10,cmp
